HY020,HY022,HY023,HB070,HB100,head_age,head_PB150,head_PB190,head_PE021,head_PL051A,head_PL060,head_PY010N,head_PH010,household_size,mean_age,std_age,num_males,max_education,num_employed,total_employee_income,total_pension,avg_health,employment_rate,num_children,num_elderly,num_working_age,dependency_ratio,income_per_capita,vhPobreza
58477.5,58477.5,58477.5,5901.0,8.0,64,2,1.0,,22.0,39.0,57248.3,2.0,1,64.0,,0,,0,57248.3,0.0,2.0,0.0,0,0,1,0.0,57248.3,0
62711.4,62711.4,-949.9,6001.0,78.0,75,1,2.0,,,,0.0,2.0,2,74.5,0.7071067811865476,1,,0,0.0,0.0,2.0,0.0,0,2,0,2.0,0.0,0
24774.3,24774.3,24774.3,6101.0,11.0,68,1,1.0,,,,0.0,2.0,1,68.0,,1,,0,0.0,0.0,2.0,0.0,0,1,0,1.0,0.0,0
53474.1,53474.1,53474.1,6201.0,6.0,58,1,2.0,50.0,14.0,50.0,33739.5,2.0,3,41.666666666666664,18.876793513023692,2,50.0,0,35884.3,0.0,1.6666666666666667,0.0,0,0,3,0.0,11961.433333333334,0
143293.4,143293.4,143293.4,6301.0,20.0,47,1,2.0,,26.0,40.0,0.0,2.0,2,48.0,1.4142135623730951,1,,0,0.0,0.0,2.0,0.0,0,0,2,0.0,0.0,0
7963.86,7963.86,-4899.63,6401.0,10.0,86,2,4.0,,,,0.0,1.0,1,86.0,,0,,0,0.0,0.0,1.0,0.0,0,1,0,1.0,0.0,1
53331.2,1792.6,1792.6,6501.0,11.0,57,1,2.0,50.0,,,38.7,2.0,5,34.8,18.7136313953225,2,50.0,0,38.7,51538.6,2.0,0.0,1,0,4,0.25,7.74,0
52966.1,52966.1,17686.1,6601.0,8.0,48,2,1.0,,26.0,30.0,269.8,3.0,2,61.5,19.091883092036785,1,,0,269.8,0.0,3.0,0.0,0,1,1,1.0,134.9,0
54223.7,54223.7,54223.7,6701.0,16.0,50,2,2.0,35.0,96.0,35.0,18336.7,2.0,4,36.25,18.37344097694641,2,35.0,0,53183.0,0.0,1.75,0.0,0,0,4,0.0,13295.75,0
22570.1,15991.3,15991.3,6801.0,9.0,41,1,1.0,,,,15338.3,1.0,1,41.0,,1,,0,15338.3,6578.8,1.0,0.0,0,0,1,0.0,15338.3,0
38899.7,37891.7,37891.7,6901.0,15.0,57,1,2.0,50.0,51.0,60.0,9020.5,4.0,2,52.5,6.363961030678928,1,50.0,0,21390.2,0.0,3.5,0.0,0,0,2,0.0,10695.1,0
13118.0,11318.0,11318.0,7001.0,11.0,35,2,1.0,50.0,51.0,25.0,11318.0,2.0,1,35.0,,0,50.0,0,11318.0,0.0,2.0,0.0,0,0,1,0.0,11318.0,0
40855.8,22472.2,22472.2,7101.0,7.0,56,2,2.0,,91.0,10.0,5294.9,3.0,2,57.0,1.4142135623730951,1,,0,24467.6,4006.2,3.0,0.0,0,0,2,0.0,12233.8,0
32095.8,30450.9,30450.9,7201.0,9.0,42,1,2.0,,41.0,40.0,20824.9,2.0,2,41.5,0.7071067811865476,1,,0,29625.4,1644.9,2.0,0.0,0,0,2,0.0,14812.7,0
2472.9,-400.0,-400.0,7401.0,11.0,57,2,5.0,50.0,,,0.0,2.0,2,40.0,24.041630560342615,1,50.0,0,0.0,2872.9,1.5,0.0,0,0,2,0.0,0.0,1
34913.0,34913.0,6568.7,7501.0,7.0,70,2,2.0,,,,0.0,2.0,2,74.5,6.363961030678928,1,,0,0.0,0.0,2.0,0.0,0,2,0,2.0,0.0,0
7985.6,7985.6,-134.99,7601.0,7.0,84,2,1.0,,,,0.0,3.0,1,84.0,,0,,0,0.0,0.0,3.0,0.0,0,1,0,1.0,0.0,1
45827.2,45827.2,45827.2,7701.0,10.0,42,1,2.0,,54.0,37.0,35809.4,2.0,2,42.5,0.7071067811865476,1,,0,44397.2,0.0,2.0,0.0,0,0,2,0.0,22198.6,0
30512.0,30512.0,-445.99,7801.0,8.0,84,2,4.0,,,,0.0,3.0,1,84.0,,0,,0,0.0,0.0,3.0,0.0,0,1,0,1.0,0.0,0
76304.5,76304.5,5564.7,7902.0,15.0,74,1,2.0,,,,0.0,2.0,2,72.5,2.1213203435596424,1,,0,0.0,0.0,2.0,0.0,0,2,0,2.0,0.0,0
39681.98,39681.98,39681.98,8002.0,48.0,62,2,2.0,35.0,52.0,30.0,0.0,3.0,3,48.0,25.11971337416094,1,35.0,0,0.0,0.0,2.6666666666666665,0.0,0,0,3,0.0,0.0,0
27289.4,27289.4,27289.4,8101.0,8.0,65,1,2.0,,52.0,40.0,23350.0,4.0,2,65.5,0.7071067811865476,1,,0,23350.0,0.0,4.0,0.0,0,2,0,2.0,11675.0,0
30936.1,30936.1,30936.1,8201.0,28.0,35,2,2.0,35.0,42.0,40.0,9186.3,2.0,2,36.0,1.4142135623730951,1,35.0,0,30276.3,0.0,1.5,0.0,0,0,2,0.0,15138.15,0
17745.2,17745.2,1428.4,8301.0,9.0,83,2,4.0,,,,0.0,3.0,1,83.0,,0,,0,0.0,0.0,3.0,0.0,0,1,0,1.0,0.0,0
40406.8,40406.8,40406.8,8401.0,11.0,57,1,2.0,50.0,12.0,40.0,37899.9,2.0,3,44.666666666666664,21.361959960016154,1,50.0,0,37899.9,0.0,1.6666666666666667,0.0,0,0,3,0.0,12633.300000000001,0
63025.64,44679.24,35303.14,8501.0,6.0,63,1,4.0,,93.0,40.0,0.0,2.0,2,49.0,19.79898987322333,2,,0,17588.7,18346.4,1.5,0.0,0,0,2,0.0,8794.35,0
58563.2,58563.2,44390.7,8601.0,20.0,66,1,4.0,,3.0,40.0,24194.9,2.0,2,46.0,28.284271247461902,2,,0,41917.600000000006,0.0,1.5,0.0,0,1,1,1.0,20958.800000000003,0
11551.7,11551.7,641.9,8701.0,9.0,86,2,4.0,,,,0.0,2.0,1,86.0,,0,,0,0.0,0.0,2.0,0.0,0,1,0,1.0,0.0,1
10402.8,10402.8,1393.7,,13.0,84,2,2.0,,,,0.0,3.0,2,85.0,1.4142135623730951,1,,0,0.0,0.0,3.0,0.0,0,2,0,2.0,0.0,1
5080.5,399.9,399.9,8901.0,11.0,59,2,1.0,50.0,,,0.0,2.0,3,37.0,20.29778313018444,1,50.0,0,382.7,3585.2999999999997,1.3333333333333333,0.0,0,0,3,0.0,127.56666666666666,1
50230.7,50230.7,50230.7,9001.0,9.0,41,2,2.0,,33.0,40.0,33671.8,2.0,2,44.0,4.242640687119285,1,,0,33671.8,0.0,2.0,0.0,0,0,2,0.0,16835.9,0
24525.1,16660.3,701.2,9101.0,7.0,50,2,1.0,30.0,,,1542.6,2.0,3,69.66666666666667,17.03917055884274,1,30.0,0,1542.6,7864.8,2.6666666666666665,0.0,0,2,1,2.0,514.1999999999999,0
63726.8,61857.4,61857.4,9201.0,16.0,61,1,2.0,50.0,41.0,40.0,13217.0,2.0,4,41.0,20.992061991778385,2,50.0,0,53084.8,1869.4,2.0,0.0,0,0,4,0.0,13271.2,0
84081.5,48620.0,48620.0,9301.0,33.0,56,2,2.0,50.0,22.0,59.0,45915.5,2.0,3,46.0,22.715633383201094,1,50.0,0,45915.5,0.0,2.0,0.0,0,0,3,0.0,15305.166666666666,0
18031.3,6233.2,6233.2,9401.0,13.0,46,2,1.0,30.0,94.0,5.0,5254.3,2.0,2,48.0,2.8284271247461903,1,30.0,0,6599.3,6758.1,2.0,0.0,0,0,2,0.0,3299.65,1
53145.3,53145.3,45732.1,9501.0,16.0,46,1,1.0,,22.0,55.0,22200.6,3.0,3,54.333333333333336,18.0092568789868,1,,0,35691.6,0.0,3.0,0.0,0,1,2,0.5,11897.199999999999,0
